Mange-tout peas, raw	32
Beansprouts, mung, raw	32
Apricots, raw	32
Rhubarb, canned in syrup	32
Melon, watermelon	32
Okra, raw	31
Carrots, young, raw	31
Grapefruit, canned in juice	31
Grapefruit, raw	31
Peaches, raw, weighed with stone	31
Apricots, raw, weighed with stones	30
Blackcurrants, raw	30
Fruit cocktail, canned in juice	30
Melon, Honeydew	30
Brown ale, bottled	30
Minestrone soup, canned	30
Okra, boiled in unsalted water	29
Clementines, weighed with peel and pips	29
Pale ale, bottled	29
Cauliflower, boiled in unsalted water	28
Guava, raw	28
Strawberries, raw	28
Skimmed milk, UHT	27
Soya, non-dairy alternative to milk, unsweetened	27
Mange-tout peas, boiled in salted water	27
Cabbage, white, raw	27
Cabbage, raw, average	27
Raspberries, raw	27
Satsumas, weighed with peel	27
Oranges, weighed with peel and pips	27
Oxtail soup, dried, as served	27
Cabbage, January King, raw	26
Green beans/French beans, frozen, boiled in unsalted water	26
Blackberries, raw	26
Tangerines, weighed with peel and pips	26
Asparagus, raw	25
Swede, raw	25
Turnip, raw	25
Green beans/French beans, raw	25
Carrots, old, boiled in unsalted water	25
Spinach, raw	25
Carrots, old, boiled in salted water	25
Guava, raw, weighed with skin and pips	25
Melon, Galia	25
Curly kale, boiled in salted water	24
Spring onions, bulbs and tops, raw	24
Beer, mild, draught	24
Runner beans, raw	23
Sweetcorn, baby, canned, drained	23
Carrots, young, boiled in unsalted water	23
Carrots, young, boiled in salted water	23
Minestrone soup, dried, as served	23
Spinach, frozen, boiled in unsalted water	22
Leeks, raw	22
Blackberries, stewed without sugar	22
Passion fruit, weighed with skin	22
Pineapple, raw, weighed with skin and top	22
Vinegar	22
Pheasant, roasted, meat only	22
Carrots, canned, re-heated, drained	21
Leeks, boiled in unsalted water	21
Leeks, boiled in salted water	21
Grapefruit, raw, weighed with peel and pips	21
Soup, low calorie, canned	21
Courgette, boiled in unsalted water	20
Spring greens, boiled in unsalted water	20
Tomatoes, grilled	20
Gooseberries, cooking, raw	20
Melon, Honeydew, weighed with skin	20
Melon, Canteloupe-type	20
Peppers, capsicum, green, boiled in salted water	19
Lemons, whole, without pips	19
Melon, Honeydew, weighed whole	19
Runner beans, boiled in unsalted water	18
Cabbage, January King, boiled in salted water	18
